ticker,asset_class,frequency,uses_volume,directional_accuracy_pct,ic,rank_ic,mae_pct,annualized_sharpe
SPY,Equities,1d,True,51.33333333333333,0.03163634565245095,0.05796702075647807,0.471261138166786,-0.3063723380988905
SPY,Equities,1d,False,51.33333333333333,-0.012747188692538165,0.009833325925596693,0.47138365202166216,-0.3063723380988905
SPY,Equities,1h,True,52.666666666666664,0.03094488901106087,-0.014914440641806302,0.14258498651179252,-11.700509196478405
SPY,Equities,1h,False,52.666666666666664,0.021791937965268158,-0.1320360904929108,0.13917328887813105,-11.09549575539743
QQQ,Equities,1d,True,52.0,-0.03755000311936048,-0.028945286457175874,0.7306851237190131,0.46822876140401415
QQQ,Equities,1d,False,52.0,0.05365284330448236,0.08003733499266634,0.7302939824015386,0.46822876140401415
QQQ,Equities,1h,True,56.75675675675676,-0.08313554329421063,-0.2013975744678999,0.187331328697231,-5.05215715488771
QQQ,Equities,1h,False,56.75675675675676,0.012027439807043743,-0.014306426335777318,0.1854643386565537,-5.05215715488771
AAPL,Equities,1d,True,56.666666666666664,-0.060886672424605055,-0.07132228099026623,1.082846583366821,1.8388652337736404
AAPL,Equities,1d,False,56.666666666666664,-0.00812516712259235,-0.048402151206720305,1.0827264909506389,1.8388652337736404
AAPL,Equities,1h,True,48.66666666666667,-0.07160044683885758,-0.06002222320992044,0.38287369262494997,-1.4276556412612664
AAPL,Equities,1h,False,48.66666666666667,-0.08959437661023906,-0.055417574114405094,0.3822086120465732,-1.4276556412612664
^GSPC,Indices,1d,True,56.666666666666664,0.05927362137097413,0.06276367838570604,0.4691087242536014,-0.09294236493490952
^GSPC,Indices,1d,False,56.666666666666664,0.007902550802204544,0.025435797146539846,0.4690766297135269,-0.09294236493490952
^GSPC,Indices,1h,True,51.33333333333333,0.0027035883831521084,-0.02956398062136095,0.145562538052521,-10.697362771715566
^GSPC,Indices,1h,False,51.33333333333333,0.00996386125291662,0.0023556602515667365,0.1456518861402098,-10.665730772927573
^IXIC,Indices,1d,True,57.333333333333336,-0.027717861403674,0.009911551624516646,0.6936725321041498,0.6463317415158453
^IXIC,Indices,1d,False,57.333333333333336,0.013692414842865045,0.06301968976398951,0.6937102204392431,0.6463317415158453
^IXIC,Indices,1h,True,56.00000000000001,-0.007670225246286874,-0.0035148228810169347,0.1811235609062957,-6.012655393317194
^IXIC,Indices,1h,False,56.00000000000001,0.02894881367676839,0.036362505000222235,0.18099069974717472,-6.012655393317194
^NSEI,Indices,1d,True,49.333333333333336,-0.09852305514270043,-0.10511222721009823,0.5045790332345254,-2.128750948411012
^NSEI,Indices,1d,False,49.333333333333336,-0.1351034752677102,-0.16486599404417973,0.504365977634734,-2.128750948411012
^NSEI,Indices,1h,True,42.281879194630875,-0.1634036582733977,-0.1828081248055469,0.16493535717230165,-18.571913340256877
^NSEI,Indices,1h,False,42.281879194630875,-0.1634036582733977,-0.1828081248055469,0.16493535717230165,-18.571913340256877
BTC-USD,Crypto,1d,True,48.66666666666667,0.11000086178204253,0.0703124583314814,1.4255516980144118,0.15217407874549116
BTC-USD,Crypto,1d,False,48.66666666666667,0.07970616631047564,0.05422641006266945,1.4258351646276424,0.15217407874549116
BTC-USD,Crypto,1h,True,56.00000000000001,0.09416929905452502,0.10098404373527711,0.2552620986455925,2.9457383229431024
BTC-USD,Crypto,1h,False,56.00000000000001,0.10891135207817403,0.059062180541357395,0.25578879287725914,2.9457383229431024
ETH-USD,Crypto,1d,True,53.333333333333336,0.1851866318608025,0.1276803413485044,1.8504850024861903,0.3721953147208418
ETH-USD,Crypto,1d,False,53.333333333333336,0.13553313093995487,0.05173741055158007,1.8507624277262948,0.3721953147208418
ETH-USD,Crypto,1h,True,57.333333333333336,0.06285689979682585,0.04023467709675986,0.31660024206485105,3.451523286850151
ETH-USD,Crypto,1h,False,57.333333333333336,0.1454022908704353,0.11097559891550737,0.31672081422857445,3.451523286850151
SOL-USD,Crypto,1d,True,49.333333333333336,-0.049626499075451004,-0.08444997555446909,2.1843416258658785,0.8417391745127898
SOL-USD,Crypto,1d,False,49.333333333333336,0.07548638624749185,0.05575536690519578,2.1838630950199636,0.8417391745127898
SOL-USD,Crypto,1h,True,54.0,0.04529409101782658,0.014544646428730167,0.43142699518648436,4.786614966269231
SOL-USD,Crypto,1h,False,54.0,0.09383332917911932,0.029108849282190322,0.4316638079326367,4.786614966269231
EURUSD=X,FX,1d,True,56.16438356164384,-0.07259079342201005,-0.10967873842593817,0.10380518757180349,-44.291381356669255
