fold,train_bars,test_bars,test_ic,test_rank_ic,test_hit_rate_pct,test_sharpe,test_max_drawdown_pct
1,636792,238797,0.25392289211570923,0.216342592696771,57.03249751844979,-1.736584459587761,-100.0
2,875589,238797,0.2892207176239296,0.2298291790029551,57.807635362326856,-1.0059823880379835,-99.9999999999981
3,1114386,238797,0.2941342957162485,0.20089671792565875,57.804171463176445,-1.5090592667940839,-100.0
4,1353183,238779,0.2040994910557264,0.16232368605322137,56.70988419489207,-3.9128548415585516,-100.0
