horizon,mae,rmse,r_squared,correlation,rank_correlation,low_vol_mae,normal_vol_mae,high_vol_mae
5,2.9258776381849567e-05,3.589349255947041e-05,-0.626905074846722,-0.271170033053402,-0.09542132295394981,3.169960745780779e-05,3.0238656730409384e-05,2.5278133329583066e-05
10,0.00018270404292330055,0.0006084791377998248,-0.060765530426875713,-0.3218377208243164,0.0723076923076923,5.517266606136143e-05,6.30583923576124e-05,0.0004982500135313209
20,0.00026437517316167127,0.0006298441961199825,-0.0949212715704153,-0.30674810079515835,0.049999999999999996,0.00011451001692329127,0.00014354224621927858,0.0006041206431666683
50,0.0005887027141969231,0.00116689774600902,-0.10991466201888223,-0.21717435535787452,-0.024615384615384615,0.00035815686195624785,0.0003207615373962105,0.001240298987124433
